Time,Count,Predicted,Accuracy,Density
21:03:07,1,2,40.79,Low
21:03:07,1,2,35.04,Low
21:03:07,2,2,54.78,Low
21:03:07,2,2,54.13,Low
21:03:07,2,2,53.71,Low
21:03:07,2,2,60.62,Low
21:03:08,3,2,55.25,Low
21:03:08,3,2,53.42,Low
21:03:08,4,2,46.79,Low
21:03:08,4,2,65.78,Low
21:03:08,5,2,58.5,Low
21:03:08,4,2,59.67,Low
21:03:08,4,2,64.84,Low
21:03:08,3,2,72.25,Low
21:03:09,3,2,56.99,Low
21:03:09,3,2,51.72,Low
21:03:09,3,2,51.58,Low
21:03:09,4,2,60.24,Low
21:03:09,4,2,64.79,Low
21:03:09,4,3,51.8,Low
21:03:09,4,3,59.65,Low
21:03:09,4,3,57.94,Low
21:03:10,4,3,58.36,Low
21:03:10,4,3,67.79,Low
21:03:10,4,3,74.29,Low
21:03:10,5,3,61.45,Low
21:03:10,5,3,64.35,Low
21:03:10,5,4,69.97,Low
21:03:10,6,4,63.64,Low
21:03:10,6,4,58.02,Low
21:03:11,5,4,66.03,Low
21:03:11,5,4,69.58,Low
21:03:11,5,4,71.98,Low
21:03:11,5,4,70.95,Low
21:03:11,8,4,59.19,Medium
21:03:11,6,4,68.28,Low
21:03:11,6,4,67.01,Low
21:03:11,7,5,61.58,Low
21:03:12,7,5,59.29,Low
21:03:12,7,5,56.9,Low
21:03:12,7,5,56.21,Low
21:03:12,7,5,57.69,Low
21:03:12,7,5,59.28,Low
21:03:12,7,6,65.75,Low
21:03:12,7,6,59.18,Low
21:03:12,7,6,61.34,Low
21:03:12,7,6,61.3,Low
21:03:13,6,6,67.57,Low
21:03:13,6,6,68.68,Low
21:03:13,6,6,68.29,Low
21:03:13,6,6,68.08,Low
21:03:13,6,6,70.6,Low
21:03:13,6,6,70.72,Low
21:03:13,6,6,67.93,Low
21:03:13,7,6,62.19,Low
21:03:14,5,6,70.79,Low
21:03:14,6,6,66.37,Low
21:03:14,6,6,66.81,Low
21:03:14,7,6,61.92,Low
21:03:14,6,6,63.31,Low
21:03:14,6,6,65.47,Low
21:03:14,6,6,65.24,Low
21:03:15,6,6,61.06,Low
21:03:15,5,6,57.65,Low
21:03:15,5,6,57.66,Low
21:03:15,5,5,54.22,Low
21:03:15,4,5,50.41,Low
21:03:15,4,5,63.04,Low
21:03:15,4,5,50.34,Low
21:03:15,4,5,55.48,Low
21:03:16,4,5,57.8,Low
21:03:16,4,5,62.11,Low
21:03:16,4,5,50.91,Low
21:03:16,5,5,57.48,Low
21:03:16,5,5,52.0,Low
21:03:16,5,5,55.92,Low
21:03:16,5,5,56.1,Low
21:03:16,4,4,65.65,Low
21:03:17,4,4,67.72,Low
21:03:17,4,4,66.07,Low
21:03:17,4,4,65.79,Low
21:03:17,4,4,64.93,Low
21:03:17,4,4,65.0,Low
21:03:17,4,4,64.46,Low
21:03:17,4,4,62.54,Low
21:03:17,4,4,62.42,Low
21:03:18,4,4,66.86,Low
21:03:18,4,4,65.38,Low
21:03:18,6,4,55.85,Low
21:03:18,5,4,65.1,Low
21:03:18,4,4,69.22,Low
21:03:18,4,4,66.35,Low
21:03:18,4,4,67.59,Low
21:03:18,4,4,70.74,Low
21:03:18,4,4,70.86,Low
21:03:19,4,4,69.77,Low
21:03:19,5,4,62.07,Low
21:03:19,4,4,71.32,Low
21:03:19,4,4,62.94,Low
21:03:19,5,4,64.84,Low
21:03:19,5,4,64.8,Low
21:03:19,4,4,69.37,Low
21:03:19,4,4,68.06,Low
21:03:20,4,4,68.24,Low
21:03:20,4,4,70.59,Low
21:03:20,4,4,66.66,Low
21:03:20,4,4,67.23,Low
21:03:20,4,4,59.05,Low
21:03:20,4,4,63.69,Low
21:03:20,4,4,65.11,Low
21:03:20,4,4,68.99,Low
21:03:21,4,4,67.46,Low
21:03:21,4,4,67.56,Low
21:03:21,4,4,62.03,Low
21:03:21,4,4,61.58,Low
21:03:21,4,4,64.06,Low
21:03:21,4,4,70.74,Low
21:03:21,4,4,63.55,Low
21:03:21,5,4,57.39,Low
21:03:22,4,4,69.14,Low
21:03:22,4,4,64.6,Low
21:03:22,5,4,56.95,Low
21:03:22,4,4,59.85,Low
21:03:22,5,4,57.05,Low
21:03:22,5,4,57.83,Low
21:03:22,5,4,60.92,Low
21:03:22,5,4,53.09,Low
21:03:23,4,4,63.37,Low
21:03:23,5,4,59.7,Low
21:03:23,5,4,61.37,Low
21:03:23,5,4,61.45,Low
21:03:23,5,4,63.46,Low
21:03:23,3,4,67.74,Low
21:03:23,3,4,63.01,Low
21:03:23,3,4,61.81,Low
21:03:24,3,4,53.78,Low
21:03:24,3,4,54.1,Low
21:03:24,3,4,54.14,Low
21:03:24,3,4,54.03,Low
21:03:24,3,4,53.94,Low
21:03:24,3,4,53.82,Low
21:03:24,3,3,53.78,Low
21:03:24,3,3,53.69,Low
21:03:24,3,3,53.47,Low
21:03:25,3,3,53.5,Low
21:03:25,3,3,53.64,Low
21:03:25,3,3,53.72,Low
21:03:25,3,3,53.76,Low
